episode,timestep,reward
3089,315648,0.2146
3091,315936,0.2812
3093,316224,0.0
3095,316512,0.0
3099,316800,0.4344
3101,317088,0.05
3103,317376,0.0
3106,317664,0.225
3108,317952,0.0
3110,318240,0.0
3112,318528,0.4313
3117,318816,0.5012
3120,319104,0.2917
3122,319392,0.3656
3124,319680,0.0
3126,319968,0.0
3130,320256,0.5
3134,320544,0.4188
3136,320832,0.3
3139,321120,0.1062
3141,321408,0.3719
3143,321696,0.0
3145,321984,0.0
3148,322272,0.2687
3151,322560,0.2771
3153,322848,0.2375
3156,323136,0.2938
3159,323424,0.2354
3163,323712,0.4281
3166,324000,0.5479
3170,324288,0.3453
3172,324576,0.0
3174,324864,0.0
3177,325152,0.4958
3180,325440,0.2188
3182,325728,0.0
3184,326016,0.4156
3187,326304,0.0792
3190,326592,0.6042
3193,326880,0.2896
3195,327168,0.0
3197,327456,0.0
3202,327744,0.4888
3204,328032,0.1188
3206,328320,0.3063
3208,328608,0.0
3210,328896,0.0
3214,329184,0.4266
3216,329472,0.0
3219,329760,0.2812
3225,330048,0.7344
3227,330336,0.0594
3229,330624,0.0
3231,330912,0.0
3233,331200,0.1781
3236,331488,0.2687
3238,331776,0.0
3240,332064,0.0
3244,332352,0.4
3246,332640,0.0
3248,332928,0.0
3251,333216,0.5354
3253,333504,0.0
3257,333792,0.4
3260,334080,0.3021
3262,334368,0.0
3265,334656,0.5167
3268,334944,0.2521
3270,335232,0.0
3272,335520,0.2
3275,335808,0.25
3278,336096,0.3042
3280,336384,0.0
3282,336672,0.2906
3285,336960,0.1104
3289,337248,0.4656
3292,337536,0.4458
3295,337824,0.4979
3297,338112,0.0
3302,338400,0.5775
3305,338688,0.2104
3307,338976,0.3812
3311,339264,0.5234
3313,339552,0.0
3319,339840,0.5833
3322,340128,0.3354
3324,340416,0.0
3326,340704,0.0
3329,340992,0.4042
3332,341280,0.3833
3334,341568,0.3563
3337,341856,0.2792
3339,342144,0.0
3342,342432,0.3333
3344,342720,0.0
3347,343008,0.225
3351,343296,0.4328
3353,343584,0.4281
3355,343872,0.0
3358,344160,0.2771
3361,344448,0.2958
3365,344736,0.4297
3368,345024,0.5208
3371,345312,0.2667
3373,345600,0.0
3377,345888,0.4125
3381,346176,0.5719
3383,346464,0.3375
